id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,weekend_availability_rate,weekday_availability_rate,num_reviews_bin
1420178520187126981,2020-07-18,within an hour,100.0,87.0,True,29.0,32.0,True,True,Esenyurt,41.02588938982189,28.625583851911777,Room in hotel,Private room,5,1.0,2.0,4.0,"[""Exterior security cameras on property"", ""Cooking basics"", ""TV"", ""Heating"", ""Paid parking on premises"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Dedicated workspace"", ""Free parking on premises"", ""Air conditioning""]",2500.0,1,365,5.0,4.0,3.0,5.0,5.0,4.0,5.0,True,28,2,26,0,1.0,1.0,1.0
1420179132989236788,2020-01-17,within an hour,100.0,100.0,True,6.0,6.0,True,True,Fatih,41.03052,28.94837,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Crib"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shower gel"", ""Lockbox"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Hair dryer"", ""Bidet"", ""Cleaning products"", ""Clothing storage"", ""Washer"", ""Smoke alarm"", ""TV"", ""Self check-in"", ""Heating"", ""Shampoo"", ""First aid kit"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",1887.0,2,28,1.0,5.0,5.0,1.0,5.0,5.0,2.0,True,6,6,0,0,0.9807692307692308,0.9760765550239234,1.0
1420184242306021709,2024-07-17,within an hour,98.0,99.0,True,34.0,41.0,True,True,Beyoglu,41.0374189,28.9767384,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"[""Outdoor furniture"", ""Dishwasher"", ""Hair dryer"", ""Clothing storage: closet"", ""Cooking basics"", ""Self check-in"", ""Other stove"", ""Backyard"", ""Coffee maker"", ""Washer"", ""Dishes and silverware"", ""Air conditioning"", ""Wifi"", ""Kitchen"", ""Smart lock"", ""Refrigerator"", ""TV"", ""Hot water kettle""]",1472.0,1,365,5.0,5.0,4.67,5.0,4.67,4.67,4.67,True,34,34,0,0,0.7884615384615384,0.8181818181818182,2.0
1420191773647298774,2020-01-17,within an hour,100.0,100.0,True,6.0,6.0,True,True,Fatih,41.03237,28.94877,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Cooking basics"", ""Iron"", ""Wifi"", ""Crib"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shower gel"", ""Lockbox"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Hair dryer"", ""Bidet"", ""Cleaning products"", ""Clothing storage"", ""Washer"", ""Smoke alarm"", ""TV"", ""Self check-in"", ""Heating"", ""Shampoo"", ""First aid kit"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",1492.0,2,29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,6,0,0,1.0,1.0,1.0
1420218489330668931,2018-12-30,within an hour,100.0,100.0,True,12.0,13.0,True,True,Beyoglu,41.02955742238783,28.988082881261423,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Outdoor furniture"", ""Extra pillows and blankets"", ""Outdoor dining area"", ""Luggage dropoff allowed"", ""Cooking basics"", ""TV with standard cable"", ""Outdoor kitchen"", ""Iron"", ""Drying rack for clothing"", ""Body soap"", ""Wifi"", ""Long term stays allowed"", ""Crib"", ""Fire extinguisher"", ""Mini fridge"", ""Private entrance"", ""Patio or balcony"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Building staff"", ""Hair dryer"", ""Pocket wifi"", ""Dining table"", ""Cleaning products"", ""Clothing storage"", ""Washer"", ""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Conditioner"", ""Refrigerator"", ""Self check-in"", ""Laundromat nearby"", ""Heating"", ""Shampoo"", ""Ethernet connection"", ""First aid kit"", ""Coffee"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Wine glasses"", ""Hot water kettle""]",4480.0,1,1125,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,12,11,1,0,0.9935897435897436,0.985645933014354,0.0
1420219084301558648,2017-01-03,within a day,88.0,0.0,True,2.0,2.0,True,True,Catalca,41.25328,28.41595,Private room in home,Private room,4,2.0,2.0,3.0,"[""Room-darkening shades"", ""Exterior security cameras on property"", ""Wine glasses"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Freezer"", ""Body soap"", ""Hot water kettle"", ""Dining table"", ""Host greets you"", ""Lake access"", ""Private living room"", ""Coffee maker: pour-over coffee"", ""Outdoor dining area"", ""Baking sheet"", ""Dryer"", ""Toaster"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Iron"", ""Oven"", ""Blender"", ""Fire pit"", ""Fire extinguisher"", ""Outdoor furniture"", ""Refrigerator"", ""Lock on bedroom door"", ""Breakfast"", ""First aid kit"", ""Mosquito net"", ""Stove"", ""Coffee"", ""Cooking basics"", ""BBQ grill"", ""Wifi"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Barbecue utensils"", ""Free parking on premises"", ""Beach access \u2013 Beachfront"", ""Shower gel"", ""Bed linens"", ""TV"", ""Resort access"", ""Heating"", ""Clothing storage"", ""Hair dryer"", ""Conditioner"", ""Kitchen"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Bidet""]",2800.0,1,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,2,0,1,1,1.0,1.0,0.0
1421804289205965332,2013-12-21,within an hour,100.0,91.0,True,16.0,18.0,True,True,Fatih,41.01267,28.97922,Room in hotel,Private room,2,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shower gel"", ""Hot water"", ""Hangers"", ""Hobby shampoo"", ""Hair dryer"", ""Heating - split type ductless system"", ""Paid parking garage off premises"", ""Air conditioning"", ""Smoke alarm"", ""Housekeeping available from 10:00\u202fAM to 12:00\u202fPM"", ""TV"", ""Host greets you"", ""Central heating"", ""Paid dryer \u2013 In building"", ""Laundromat nearby"", ""Hobby body soap"", ""First aid kit"", ""Paid washer \u2013 In building"", ""Bed linens"", ""Hot water kettle""]",1501.0,1,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,16,0,12,4,1.0,1.0,0.0
1421807305313100902,2013-12-21,within an hour,100.0,91.0,True,16.0,18.0,True,True,Fatih,41.014264301136464,28.977862832694537,Room in hotel,Private room,3,1.0,1.0,3.0,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Iron"", ""Drying rack for clothing"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Hot water"", ""Hangers"", ""Hobby shampoo"", ""Hair dryer"", ""Heating - split type ductless system"", ""Paid parking garage off premises"", ""Air conditioning"", ""Smoke alarm"", ""Housekeeping available from 10:00\u202fAM to 12:00\u202fPM"", ""Host greets you"", ""Central heating"", ""Paid dryer \u2013 In building"", ""Laundromat nearby"", ""First aid kit"", ""Paid washer \u2013 In building"", ""Bed linens"", ""Hot water kettle""]",1930.0,1,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,16,0,12,4,1.0,0.9952153110047848,0.0
1421811958478403762,2013-12-21,within an hour,100.0,91.0,True,16.0,18.0,True,True,Fatih,41.01283313288189,28.979878758612223,Room in hotel,Private room,2,1.0,1.0,1.0,"[""Housekeeping available from 10:00\u202fAM to 12:00\u202fPM"", ""Exterior security cameras on property"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Paid washer \u2013 In building"", ""Hot water kettle"", ""Hobby body soap"", ""Hangers"", ""Iron"", ""Clothing storage: wardrobe"", ""Fire extinguisher"", ""Heating - split type ductless system"", ""Drying rack for clothing"", ""Paid parking garage off premises"", ""Air conditioning"", ""First aid kit"", ""Hot water"", ""Wifi"", ""Shower gel"", ""Bed linens"", ""TV"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hobby shampoo"", ""Central heating""]",1930.0,1,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,16,0,12,4,1.0,1.0,0.0
1421816619143013104,2013-12-21,within an hour,100.0,91.0,True,16.0,18.0,True,True,Fatih,41.013136107777136,28.97975409799263,Room in hotel,Private room,2,1.0,1.0,1.0,"[""Housekeeping available from 10:00\u202fAM to 12:00\u202fPM"", ""Exterior security cameras on property"", ""Laundromat nearby"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Paid washer \u2013 In building"", ""Hot water kettle"", ""Hobby body soap"", ""Hangers"", ""Iron"", ""Fire extinguisher"", ""Heating - split type ductless system"", ""Drying rack for clothing"", ""Paid parking garage off premises"", ""Air conditioning"", ""First aid kit"", ""Hot water"", ""Wifi"", ""Shower gel"", ""Bed linens"", ""TV"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Host greets you"", ""Hobby shampoo"", ""Central heating""]",1930.0,1,365,4.58267273452033,4.6156312292358805,4.536973159712995,4.720404651162791,4.7400843741695455,4.644599335548173,4.541681174828892,True,16,0,12,4,1.0,1.0,0.0
