id,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,instant_bookable,calculated_host_listings_count,weekend_availability_rate,num_reviews_bin,average_review_score,host_experience_years,amenities_count,is_long_term,has_gym,has_pool,has_spa,has_ac,has_view,avg_dist_tourist,min_dist_airport,neighbourhood_popularity_rank,host_response_time_encoded,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Entire serviced apartment,property_type_clean_Other,property_type_clean_Private room in bed and breakfast,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,property_type_clean_Room in aparthotel,property_type_clean_Room in boutique hotel,property_type_clean_Room in hotel,price,log_price,log_price_cap
34177,0.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,1.791759469228055,1.0,4.0,4.793333333333333,0,43,1,0,0,0,1,1,6.701933699334942,29.31119768777232,33,0,False,False,False,True,False,False,False,False,False,False,False,False,False,1794.0,7.492760300922379,7.492760300922379
73477,100.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,1.0986122886681098,0.9230769230769232,4.0,4.955,14,34,1,0,0,0,1,1,1.8536969921971178,30.94356600914911,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2331.0,7.754481547470383,7.754481547470383
88949,91.0,True,True,True,1.6094379124341003,0.9162907318741551,1.0986122886681098,1.0986122886681098,True,1.0986122886681098,1.0,6.0,4.793333333333334,14,39,1,0,0,1,0,1,1.778461943830895,31.37973773962787,37,3,False,False,False,False,False,False,True,False,False,False,False,False,False,4984.0,8.514188682395938,8.514188682395938
101397,88.0,True,True,True,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,0.6931471805599453,0.7307692307692307,6.0,4.9366666666666665,14,34,1,0,0,0,0,1,1.6726750681118823,31.200156366848596,37,4,False,True,False,False,False,False,False,False,False,True,False,False,False,1668.0,7.419979923661835,7.419979923661835
507117,0.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.0986122886681098,1.0,1.0,5.0,13,18,1,0,0,1,1,0,3.8095433176593425,31.02699491596581,36,0,False,True,False,False,False,False,False,False,False,True,False,False,False,1507.0,7.318539548567902,7.318539548567902
511597,88.0,True,True,True,1.6094379124341003,0.6931471805599453,0.6931471805599453,1.3862943611198906,True,0.6931471805599453,1.0,1.0,4.666666666666667,13,7,1,0,0,0,1,0,11.755963531897597,26.8195718105414,27,1,False,False,False,False,True,False,False,False,False,False,False,False,False,1865.0,7.531552381407289,7.531552381407289
516720,0.0,True,True,True,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,0.6931471805599453,0.2884615384615384,5.0,4.64,13,8,1,0,0,0,0,0,4.19975503921304,30.06277477508451,36,3,False,True,False,False,False,False,False,False,False,True,False,False,False,420.0,6.042632833682381,6.042632833682381
519364,100.0,True,True,True,2.0794415416798357,0.9162907318741551,1.3862943611198906,1.6094379124341003,True,2.5649493574615367,0.717948717948718,6.0,4.861666666666667,14,53,0,0,0,0,1,1,1.6288154296426847,31.447259592897687,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,4573.0,8.428143374582726,8.428143374582726
519468,100.0,True,True,True,1.9459101490553132,1.0986122886681098,1.3862943611198906,1.3862943611198906,True,2.5649493574615367,0.6858974358974359,6.0,4.836666666666667,14,50,0,0,0,0,1,1,1.6325585849525304,31.494962926891706,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,3541.0,8.17244681834278,8.17244681834278
520238,100.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,2.5649493574615367,0.7307692307692307,6.0,4.803333333333334,14,33,0,0,0,0,1,0,1.9552455562145379,31.764273857861824,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,3216.0,8.076204527239026,8.076204527239026
523882,0.0,True,True,True,2.1972245773362196,1.0986122886681098,1.3862943611198906,1.3862943611198906,True,1.0986122886681098,1.0,1.0,3.8333333333333335,13,51,1,0,0,1,0,1,3.9170322133398465,30.924266994269274,36,0,False,False,False,False,True,False,False,False,False,False,False,False,False,2670.0,7.890208213109961,7.890208213109961
130289,88.0,True,True,True,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.0986122886681098,True,0.6931471805599453,1.0,4.0,4.916666666666667,15,21,1,0,1,0,1,1,1.7374035302163235,30.89959105715141,37,1,False,False,False,False,True,False,False,False,False,False,False,False,False,5482.0,8.609407675404048,8.609407675404048
135858,100.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.3862943611198906,0.7371794871794872,4.0,4.376666666666667,14,31,1,0,0,0,0,1,2.428144513618499,31.224777093192596,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1226.0,7.112327444710911,7.112327444710911
135956,100.0,True,True,True,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.9459101490553132,0.4230769230769231,5.0,4.8,14,32,1,0,0,0,0,0,1.7208330491235806,31.577606071352193,37,4,False,True,False,False,False,False,False,False,False,True,False,False,False,760.0,6.634633357861686,6.634633357861686
140269,88.0,True,True,True,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.3862943611198906,True,1.0986122886681098,1.0,6.0,4.598333333333333,14,19,1,0,0,0,1,1,2.05867431847208,31.676313468105707,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2564.0,7.84971375760487,7.84971375760487
158618,0.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,1.3862943611198906,1.0,0.0,4.633228987443046,14,15,1,0,0,0,1,0,1.9977438064915478,31.539681096305518,37,0,False,True,False,False,False,False,False,False,False,True,False,False,False,2985.0,8.001689978099135,8.001689978099135
166265,100.0,True,True,True,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.0986122886681098,True,2.1972245773362196,0.7371794871794872,6.0,4.725,14,25,0,0,0,0,1,0,2.0569630453895913,31.559929981935174,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2451.0,7.804659297056102,7.804659297056102
170150,60.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.3862943611198906,True,0.6931471805599453,1.0,6.0,4.866666666666666,14,58,1,0,0,0,1,1,7.484568226099839,24.157397047119478,29,3,False,False,False,True,False,False,False,False,False,False,False,False,False,1994.0,7.598399329323964,7.598399329323964
541989,88.0,True,True,True,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.0986122886681098,True,0.6931471805599453,0.9807692307692308,4.0,4.848333333333333,13,23,1,0,0,0,1,0,7.165847579220504,30.220960944201273,33,1,False,False,False,True,False,False,False,False,False,False,False,False,False,8771.0,9.079320109537779,9.079320109537779
559714,100.0,True,True,True,2.0794415416798357,1.3862943611198906,1.791759469228055,1.791759469228055,True,1.3862943611198906,0.9294871794871796,6.0,4.881666666666667,13,52,0,0,0,0,1,0,2.3216343900107264,30.236668405894665,35,4,False,False,False,True,False,False,False,False,False,False,False,False,False,9323.0,9.140347000155648,9.140347000155648
607323,100.0,True,True,True,1.3862943611198906,0.9162907318741551,1.0986122886681098,1.0986122886681098,True,1.3862943611198906,0.9487179487179488,6.0,4.8950000000000005,13,49,0,0,0,0,1,0,2.335965148128403,30.165395584565694,35,4,False,False,False,False,False,True,False,False,False,False,False,False,False,4662.0,8.44741429680832,8.44741429680832
607344,100.0,True,True,True,1.6094379124341003,0.9162907318741551,1.3862943611198906,1.3862943611198906,True,1.3862943611198906,0.967948717948718,6.0,4.943333333333334,13,46,0,0,0,0,1,0,2.4647995871437196,30.15182296533868,35,4,False,False,False,False,False,True,False,False,False,False,False,False,False,4675.0,8.450198322591959,8.450198322591959
612327,43.0,True,True,True,1.9459101490553132,1.0986122886681098,1.0986122886681098,1.6094379124341003,True,0.6931471805599453,0.9171974522292994,6.0,4.85,13,30,1,0,0,0,1,1,1.6559171908164363,31.591948860866022,37,3,False,False,False,False,False,False,False,False,False,False,False,False,False,6628.0,8.79920924224139,8.79920924224139
183804,100.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.6094379124341003,0.5128205128205128,6.0,4.88,14,20,1,0,0,0,0,0,1.6900137795290866,31.06970342105184,37,2,False,False,False,False,True,False,False,False,False,False,False,False,False,1476.0,7.29776828253138,7.29776828253138
191058,100.0,True,True,True,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.9459101490553132,0.732484076433121,5.0,4.865,14,37,1,0,0,0,0,0,1.6557627820862517,31.477041157095634,37,4,False,True,False,False,False,False,False,False,False,True,False,False,False,746.0,6.616065185132817,6.616065185132817
191069,100.0,True,True,True,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.9459101490553132,0.732484076433121,5.0,4.72,14,31,1,0,0,0,0,0,1.646978592509689,31.439840287954368,37,4,False,True,False,False,False,False,False,False,False,True,False,False,False,653.0,6.483107351457199,6.483107351457199
199411,0.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,0.6931471805599453,0.9872611464968152,6.0,4.908333333333332,14,24,1,0,0,0,1,0,1.6439631208817922,31.36835161255451,37,0,False,False,False,False,True,False,False,False,False,False,False,False,False,3986.0,8.290794347381356,8.290794347381356
220131,0.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,2.3978952727983707,1.0,6.0,4.765000000000001,0,23,1,0,0,0,1,0,1.663330969609595,31.525271579676375,37,0,False,False,False,False,True,False,False,False,False,False,False,False,False,1766.0,7.4770384723196965,7.4770384723196965
224612,0.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,True,0.6931471805599453,1.0,0.0,4.633228987443046,14,28,1,0,0,0,0,0,3.7675150865787943,30.744573297616387,36,1,False,False,False,False,False,False,False,False,False,False,False,False,False,2051.0,7.62657020629066,7.62657020629066
618156,100.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,2.5649493574615367,0.9807692307692308,6.0,4.566666666666666,13,33,0,0,0,0,1,0,2.8672557108690375,31.11821964206219,35,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1793.0,7.492203042618741,7.492203042618741
630800,91.0,True,True,True,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.6094379124341003,True,1.0986122886681098,1.0,6.0,4.703333333333333,14,35,1,0,0,0,0,1,1.7706586807247973,31.034120398487577,37,3,False,False,False,False,True,False,False,False,False,False,False,False,False,1994.0,7.598399329323964,7.598399329323964
