listing_id,weekend_availability_rate,weekday_availability_rate
25436,0.0,0.0
34177,1.0,0.9952153110047847
42835,0.2356687898089172,0.2403846153846154
73477,0.9230769230769231,0.9090909090909091
77292,0.9551282051282052,0.9521531100478469
88949,1.0,1.0
101397,0.7307692307692307,0.722488038277512
124137,0.5769230769230769,0.583732057416268
130289,1.0,0.9904306220095693
135858,0.7371794871794872,0.7416267942583732
135956,0.4230769230769231,0.4258373205741627
140269,1.0,1.0
158618,1.0,1.0
164216,1.0,0.9856459330143541
166265,0.7371794871794872,0.7416267942583732
170150,1.0,1.0
171593,0.9936305732484076,1.0
183804,0.5128205128205128,0.507177033492823
191058,0.732484076433121,0.7403846153846154
191069,0.732484076433121,0.7403846153846154
199411,0.9872611464968153,0.9951923076923077
220131,1.0,1.0
224612,1.0,0.9856459330143541
253055,1.0,0.9952153110047847
254664,0.9936305732484076,1.0
256825,0.4935897435897436,0.49282296650717705
256838,0.4935897435897436,0.49282296650717705
259206,0.6369426751592356,0.6538461538461539
271439,1.0,1.0
276621,0.4935897435897436,0.49282296650717705
282148,0.025477707006369428,0.019230769230769232
282266,0.3184713375796178,0.34134615384615385
282289,0.21019108280254778,0.27884615384615385
282295,0.025477707006369428,0.019230769230769232
304011,0.9743589743589743,0.9425837320574163
317428,1.0,1.0
351790,1.0,1.0
355170,1.0,1.0
362196,0.9102564102564102,0.9043062200956937
362228,0.8525641025641025,0.8564593301435407
371112,0.8717948717948718,0.9043062200956937
374837,1.0,0.9952153110047847
398075,1.0,1.0
404473,1.0,1.0
406324,0.5159235668789809,0.5048076923076923
422001,0.9936305732484076,1.0
422071,1.0,0.9856459330143541
447142,0.48717948717948717,0.49760765550239233
469638,0.7307692307692307,0.7177033492822966
484153,0.5705128205128205,0.5598086124401914
499401,0.9936305732484076,1.0
507117,1.0,1.0
511597,1.0,1.0
516720,0.28846153846153844,0.291866028708134
519364,0.717948717948718,0.7129186602870813
519468,0.6858974358974359,0.6602870813397129
520238,0.7307692307692307,0.7177033492822966
523882,1.0,0.9952153110047847
536526,0.41025641025641024,0.41148325358851673
541629,0.9936305732484076,1.0
541989,0.9807692307692307,0.9808612440191388
559714,0.9294871794871795,0.937799043062201
